product_id,product_title,rating,summary,review
SON17955,Sony Printer Plus,1,Good,The Vivo Smartphone offers dual camera and superb value for money.
ONE80525,OnePlus Smartphone Edge,1,Good,One of the best Nikon Refrigerator I’ve ever used.
HP 88878,HP Omen Smartphone Edge,1,Excellent,The Itel Printer offers Bluetooth and superb value for money.
HON51355,Honor Printer Lite,4,Terrific purchase,Very durable and efficient. Love the water resistant.
BOU99722,Boult Washing Machine Max,4,Good,One of the best Itel Monitor I’ve ever used.
CAN40263,Canon Speaker X,5,Good,Highly recommend this Smartwatch if you need noise cancelling.
MSI34612,MSI Camera Lite,5,Poor,The Noise Smartphone offers fast charging and superb value for money.
JBL50569,JBL Projector Max,4,Poor,Highly recommend this Earbuds if you need dual camera.
HIS92860,Hisense Monitor Max,3,Poor,One of the best HyperX Smartwatch I’ve ever used.
REA93771,realme Earbuds X,5,Poor,"Amazing Gaming Console from Hisense, great performance and design."
PHI70290,Philips Earbuds Edge,1,Poor,"Amazing Smartwatch from Logitech, great performance and design."
AMA92029,AmazonBasics Earbuds Prime,4,Poor,The Hisense Headphones offers smart assistant and superb value for money.
ASU72603,Asus Smartwatch Ultra,2,Good,"Amazing Refrigerator from Acer, great performance and design."
SON56472,Sony Tablet Pro,1,Excellent,Highly recommend this Tablet if you need long battery life.
LEN54693,Lenovo Smartwatch X,2,Excellent,One of the best Apple Earbuds I’ve ever used.
PAN71557,Panasonic Smartphone Plus,2,Good,"Amazing Headphones from Itel, great performance and design."
ONE68826,OnePlus Speaker Prime,5,Good,"Amazing Headphones from Zebronics, great performance and design."
PAN45191,Panasonic Projector X,5,Terrific purchase,Highly recommend this Air Conditioner if you need smart assistant.
VOL95503,Voltas Gaming Console X,4,Average,One of the best JBL Monitor I’ve ever used.
ZEB49664,Zebronics TV Edge,2,Terrific purchase,The Dell Tablet offers Bluetooth and superb value for money.
MI56481,Mi Washing Machine Go,5,Good,One of the best Samsung Camera I’ve ever used.
LAV43334,Lava TV Lite,4,Average,One of the best Havells Projector I’ve ever used.
TOS25246,Toshiba Washing Machine Pro,5,Terrific purchase,One of the best Nikon Headphones I’ve ever used.
OPP40195,Oppo TV Ultra,1,Good,Highly recommend this Air Conditioner if you need long battery life.
TOS65372,Toshiba Printer Elite,4,Terrific purchase,The iQOO Headphones offers noise cancelling and superb value for money.
DEL75576,Dell Printer Lite,1,Average,The Philips Monitor offers 4K UHD and superb value for money.
XIA90857,Xiaomi Earbuds Edge,3,Average,Highly recommend this Printer if you need wireless.
SON15254,Sony Air Conditioner Ultra,2,Good,One of the best HP Tablet I’ve ever used.
DEL69297,Dell Smartwatch Elite,5,Average,"Amazing Air Conditioner from Dell, great performance and design."
HYP14123,HyperX Gaming Console Prime,3,Poor,One of the best TCL Camera I’ve ever used.
PHI52670,Philips Monitor Lite,1,Terrific purchase,One of the best Infinix Air Conditioner I’ve ever used.
DEL81688,Dell Projector Prime,5,Poor,Highly recommend this Projector if you need smart assistant.
ONE19546,OnePlus Printer Edge,1,Excellent,One of the best NoiseFit Headphones I’ve ever used.
BOU66366,Boult Headphones Go,1,Good,"Amazing TV from Lenovo, great performance and design."
APP85377,Apple Camera Lite,1,Poor,"Amazing TV from Asus, great performance and design."
NOI89102,Noise Washing Machine Plus,1,Terrific purchase,The Syska Projector offers 4K UHD and superb value for money.
GOD42048,Godrej Printer X,1,Terrific purchase,Highly recommend this Refrigerator if you need smart assistant.
BOA59026,boAt Tablet Edge,4,Terrific purchase,One of the best Godrej Camera I’ve ever used.
HON30951,Honor Headphones Edge,5,Excellent,One of the best CrossBeats Air Conditioner I’ve ever used.
HP56558,HP Headphones Go,1,Terrific purchase,"Amazing Washing Machine from HP Omen, great performance and design."
NOI79761,Noise Camera Plus,4,Good,"Amazing Air Conditioner from Philips, great performance and design."
HIS22701,Hisense Earbuds Ultra,5,Excellent,One of the best HP Omen Speaker I’ve ever used.
REA93732,Realwear Laptop Lite,5,Terrific purchase,"Amazing Refrigerator from Panasonic, great performance and design."
HAV79534,Havells Monitor Max,5,Average,One of the best Itel Speaker I’ve ever used.
SON67581,Sony Headphones Go,4,Poor,One of the best AmazonBasics Smartphone I’ve ever used.
HON59869,Honor Laptop Prime,3,Poor,Highly recommend this Projector if you need smart assistant.
